MÃ“DULO,SALA,BASTIDOR,TABLILLA,PAR,ESTADO,DISPLAY-TRUNK
H'8300,00T,101A01,102,1,CONECTADO,
H'8303,00T,101A01,102,2,CONECTADO,
H'8404,00T,101A01,102,3,CONECTADO,
H'8405,00T,101A01,102,4,CONECTADO,
H'8406,00T,101A01,102,5,ABIERTO,FREE TERMINAL
H'8407,00T,101A01,102,6,CONECTADO,
H'8410,00T,101A01,102,7,CONECTADO,
H'8411,00T,101A01,102,8,CONECTADO,
H'8412,00T,101A01,102,9,ABIERTO,FREE TERMINAL
H'8413,00T,101A01,102,10,CONECTADO,
H'8420,00T,101A01,102,11,CONECTADO,
H'8421,00T,101A01,102,12,CONECTADO,
H'8422,00T,101A01,102,13,CONECTADO,FREE TERMINAL
H'8423,00T,101A01,102,14,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8430,00T,101A01,102,15,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8431,00T,101A01,102,16,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8432,00T,101A01,102,17,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8433,00T,101A01,102,18,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8500,00T,101A01,102,19,LOOP,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8501,00T,101A01,202,1,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8502,00T,101A01,202,2,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8503,00T,101A01,202,3,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8516,00T,101A01,202,4,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8517,00T,101A01,202,5,ABIERTO,FREE TERMINAL
H'851C,00T,101A01,202,6,ABIERTO,FREE TERMINAL
H'852C,00T,101A01,202,7,ABIERTO,FREE TERMINAL
H'852D,00T,101A01,202,8,ABIERTO,FREE TERMINAL
H'853C,00T,101A01,202,9,ABIERTO,FREE TERMINAL
H'853D,00T,101A01,202,10,ABIERTO,FREE TERMINAL
H'860C,00T,101A01,202,11,ABIERTO,FREE TERMINAL
H'8610,00T,101A01,202,12,ABIERTO,FREE TERMINAL
H'8611,00T,101A01,202,13,ABIERTO,FREE TERMINAL
H'8612,00T,101A01,202,14,ABIERTO,FREE TERMINAL
H'8613,00T,101A01,202,15,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8614,00T,101A01,202,16,ABIERTO,FREE TERMINAL
H'8615,00T,101A01,202,17,ABIERTO,FREE TERMINAL
H'8620,00T,101A01,202,18,ABIERTO,FREE TERMINAL
H'8621,00T,101A01,202,19,ABIERTO,FREE TERMINAL
H'8622,00T,101A01,302,1,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8623,00T,101A01,302,2,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8630,00T,101A01,302,3,ABIERTO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8631,00T,101A01,302,4,LOOP,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8632,00T,101A01,302,5,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8633,00T,101A01,302,6,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'8634,00T,101A01,302,7,ABIERTO,FREE TERMINAL
H'0,00T,101A01,101,1,CONECTADO,
H'1,00T,101A01,101,2,CONECTADO,
H'2,00T,101A01,101,3,CONECTADO,FREE TERMINAL
H'3,00T,101A01,101,4,CONECTADO,
H'10,00T,101A01,101,5,LOOP,
H'11,00T,101A01,101,6,CONECTADO,
H'12,00T,101A01,101,7,CONECTADO,
H'13,00T,101A01,101,8,LOOP,PABX IS NOT ALLOWED FOR TRK HANDLING
H'310,00T,101A01,101,9,CONECTADO,
H'311,00T,101A01,101,10,CONECTADO,FREE TERMINAL
H'312,00T,101A01,101,11,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'313,00T,101A01,101,12,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'210,00T,101A01,101,13,CONECTADO,
H'211,00T,101A01,101,14,CONECTADO,
H'212,00T,101A01,101,15,CONECTADO,
H'213,00T,101A01,101,16,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'220,00T,101A01,101,17,CONECTADO,
H'221,00T,101A01,101,18,CONECTADO,
H'222,00T,101A01,101,19,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'223,00T,101A01,201,1,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'224,00T,101A01,201,2,CONECTADO,CE NOT FOUND  EP: 158  
H'231,00T,101A01,201,3,CONECTADO,
H'232,00T,101A01,201,4,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'233,00T,101A01,201,5,LOOP,PABX IS NOT ALLOWED FOR TRK HANDLING
H'300,00T,101A01,201,6,LOOP,
H'301,00T,101A01,201,7,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'302,00T,101A01,201,8,CONECTADO,
H'303,00T,101A01,201,9,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'500,00T,101A01,201,10,ABIERTO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'501,00T,101A01,201,11,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'502,00T,101A01,201,12,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'503,00T,101A01,201,13,CONECTADO,
H'510,00T,101A01,201,14,CONECTADO,
H'511,00T,101A01,201,15,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'512,00T,101A01,201,16,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'513,00T,101A01,201,17,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'520,00T,101A01,201,18,ABIERTO,FREE TERMINAL
H'521,00T,101A01,201,19,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'522,00T,101A01,301,1,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'523,00T,101A01,301,2,CONECTADO,
H'533,00T,101A01,301,3,CONECTADO,
H'531,00T,101A01,301,4,ABIERTO,FREE TERMINAL
H'532,00T,101A01,301,5,LOOP,FREE TERMINAL
H'530,00T,101A01,301,6,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'1000,00T,101A01,301,7,CONECTADO,
H'1001,00T,101A01,301,8,CONECTADO,
H'1002,00T,101A01,301,9,CONECTADO,
H'1003,00T,101A01,301,10,CONECTADO,
H'1010,00T,101A01,301,11,CONECTADO,
H'1011,00T,101A01,301,12,CONECTADO,
H'1012,00T,101A01,301,13,CONECTADO,
H'1013,00T,101A01,301,14,CONECTADO,PABX IS NOT ALLOWED FOR TRK HANDLING
H'1020,00T,101A01,301,15,CONECTADO,
H'1021,00T,101A01,301,16,CONECTADO,
H'1022,00T,101A01,301,17,CONECTADO,
H'1023,00T,101A01,301,18,CONECTADO,LOGICAL ACCESS NUMBER ALARM (PCM)
H'1030,00T,101A01,301,19,CONECTADO,
H'1031,00T,101A01,401,1,CONECTADO,
H'1032,00T,101A01,401,2,LOOP,FREE TERMINAL
H'1033,00T,101A01,401,3,CONECTADO,
H'1100,00T,101A01,401,4,CONECTADO,
H'1101,00T,101A01,401,5,CONECTADO,
H'1102,00T,101A01,401,6,CONECTADO,
H'1103,00T,101A01,401,7,CONECTADO,
H'1110,00T,101A01,401,8,CONECTADO,
H'1111,00T,101A01,401,9,CONECTADO,
H'1112,00T,101A01,401,10,CONECTADO,
H'1113,00T,101A01,401,11,CONECTADO,
H'1120,00T,101A01,401,12,CONECTADO,
H'1121,00T,101A01,401,13,CONECTADO,
H'1122,00T,101A01,401,14,CONECTADO,LOGICAL ACCESS NUMBER ALARM (PCM)
H'1123,00T,101A01,401,15,CONECTADO,LOGICAL ACCESS NUMBER ALARM (PCM)
H'1130,00T,101A01,401,16,CONECTADO,LOGICAL ACCESS NUMBER ALARM (PCM)
H'1131,00T,101A01,401,17,CONECTADO,
H'1132,00T,101A01,401,18,CONECTADO,
H'1133,00T,101A01,401,19,CONECTADO,
